date,all_m,all_b,all_r,all_am,all_f,all_s,all_cl,all_cr,all_i,all_ar,all_p,all_ani,all_all,end_m,thrt_m,end_b,thrt_b,end_r,thrt_r,end_am,thrt_am,end_f,thrt_f,end_s,thrt_s,end_cl,thrt_cl,end_cr,thrt_cr,end_i,thrt_i,end_ar,thrt_ar,end_p,thrt_p,end_all,thrt_all
28-Feb-82,35,69,25,8,44,8,23,2,13,,61,227,288,32,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,53,8,236,52
31-Mar-82,35,69,25,8,44,8,23,2,13,,61,227,288,32,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,53,8,236,52
6-May-82,35,69,25,8,44,8,23,2,13,,62,227,289,32,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,54,8,237,52
31-May-82,35,69,25,8,44,8,23,2,13,,62,227,289,32,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,54,8,237,52
30-Jun-82,35,69,25,8,44,8,23,2,13,,62,227,289,32,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,54,8,237,52
31-Jul-82,36,69,25,8,44,8,23,2,13,,63,228,291,33,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,54,9,238,53
10-Sep-82,36,69,25,8,44,8,23,2,13,,66,228,294,33,3,66,3,13,12,5,3,32,12,3,5,23,0,2,0,7,6,,,57,9,241,53
4-Oct-82,36,69,25,8,44,8,23,3,13,,66,229,295,33,3,66,3,13,12,5,3,32,12,3,5,23,0,2,1,7,6,,,57,9,241,54
31-Oct-82,36,69,26,8,44,8,23,3,13,,66,230,296,33,3,66,3,14,12,5,3,32,12,3,5,23,0,2,1,7,6,,,57,9,242,54
30-Nov-82,36,69,26,8,44,8,23,3,13,,67,230,297,33,3,66,3,14,12,5,3,32,12,3,5,23,0,2,1,7,6,,,58,9,243,54
5-Jan-83,36,69,26,8,44,8,23,3,13,,67,230,297,33,3,66,3,14,12,5,3,32,12,3,5,23,0,2,1,7,6,,,58,9,243,54
31-Jan-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
28-Feb-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
31-Mar-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
30-Apr-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
31-May-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
30-Jun-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
30-Jul-83,36,69,26,8,45,8,23,3,13,,67,231,298,33,3,66,3,14,12,5,3,33,12,3,5,23,0,2,1,7,6,,,57,10,243,55
2-Sep-83,36,69,26,8,43,8,23,3,13,,67,229,296,33,3,66,3,14,12,5,3,31,12,3,5,23,0,2,1,7,6,,,57,10,241,55
11-Oct-83,38,69,26,8,44,8,23,3,13,,67,232,299,35,3,66,3,14,12,5,3,31,13,3,5,23,0,2,1,7,6,,,57,10,243,56
31-Oct-83,36,68,26,8,43,8,23,4,13,,67,229,296,33,3,65,3,14,12,5,3,31,12,3,5,23,0,3,1,7,6,,,57,10,241,55
31-Jan-84,36,68,26,8,46,8,22,4,13,,70,231,301,33,3,65,3,14,12,5,3,33,13,3,5,22,0,3,1,7,6,,,59,11,244,57
29-Feb-84,37,69,26,8,46,8,22,4,13,,72,233,305,34,3,66,3,14,12,5,3,33,13,3,5,22,0,3,1,7,6,,,61,11,248,57
31-Mar-84,36,68,26,8,43,8,23,4,13,,67,229,296,33,3,65,3,14,12,5,3,31,12,3,5,23,0,3,1,7,6,,,57,10,241,55
30-Apr-84,37,69,26,8,46,8,22,4,13,,72,233,305,34,3,66,3,14,12,5,3,33,13,3,5,22,0,3,1,7,6,,,61,11,248,57
31-May-84,37,69,26,8,46,8,22,4,13,,74,233,307,34,3,66,3,14,12,5,3,33,13,3,5,22,0,3,1,7,6,,,63,11,250,57
30-Jun-84,37,69,26,8,46,8,22,4,13,,74,233,307,34,3,66,3,14,12,5,3,33,13,3,5,22,0,3,1,7,6,,,63,11,250,57
31-Jul-84,37,69,26,8,46,8,22,4,13,,77,233,310,33,4,65,4,14,12,5,3,32,14,3,5,22,0,3,1,7,6,,,66,11,250,60
31-Aug-84,41,76,26,8,49,8,22,4,12,,80,246,326,37,4,72,4,14,12,5,3,33,16,3,5,22,0,3,1,8,4,,,69,11,266,60
30-Sep-84,41,76,26,8,49,8,22,4,12,,80,246,326,37,4,72,4,14,12,5,3,33,16,3,5,22,0,3,1,8,4,,,69,11,266,60
31-Oct-84,41,76,26,8,50,8,22,4,12,,81,247,328,37,4,72,4,14,12,5,3,34,16,3,5,22,0,3,1,8,4,,,70,11,268,60
30-Nov-84,42,76,26,8,50,8,22,4,12,,82,248,330,38,4,72,4,14,12,5,3,33,17,3,5,22,0,3,1,8,4,,,71,11,269,61
31-Jan-85,43,76,26,8,50,8,22,4,12,,83,249,332,39,4,72,4,14,12,5,3,33,17,3,5,22,0,3,1,8,4,,,72,11,271,61
28-Feb-85,43,76,26,8,51,8,22,4,12,,84,250,334,39,4,72,4,14,12,5,3,34,17,3,5,22,0,3,1,8,4,,,72,12,272,62
31-Mar-85,43,76,26,8,54,8,22,4,12,,85,253,338,39,4,72,4,14,12,5,3,34,20,3,5,22,0,3,1,8,4,,,72,13,272,66
3-May-85,43,76,26,8,54,8,22,4,12,,89,253,342,39,4,72,4,14,12,5,3,34,20,3,5,22,0,3,1,8,4,,,74,15,274,68
31-May-85,43,77,26,8,54,8,22,4,13,,97,255,352,39,4,73,4,14,12,5,3,34,20,3,5,22,0,3,1,8,5,,,76,21,277,75
30-Jun-85,46,77,26,8,56,8,23,4,13,,98,261,359,42,4,73,4,14,12,5,3,35,21,3,5,23,0,3,1,8,5,,,77,21,283,76
31-Jul-85,48,77,26,8,56,8,23,4,13,,105,263,368,44,4,73,4,14,12,5,3,35,21,3,5,23,0,3,1,8,5,,,82,23,290,78
3-Sep-85,48,77,26,8,59,8,23,4,13,,109,266,375,44,4,73,4,14,12,5,3,38,21,3,5,23,0,3,1,8,5,,,84,25,295,80
30-Sep-85,48,77,26,8,63,8,23,4,13,,112,270,382,44,4,73,4,14,12,5,3,41,22,3,5,23,0,3,1,8,5,,,87,25,301,81
1-Nov-85,48,77,26,8,63,8,23,4,13,,116,270,386,44,4,73,4,14,12,5,3,41,22,3,5,23,0,3,1,8,5,,,91,25,305,81
30-Nov-85,48,77,26,8,63,8,23,4,13,,116,270,386,44,4,73,4,14,12,5,3,41,22,3,5,23,0,3,1,8,5,,,91,25,305,81
31-Dec-85,49,79,26,8,64,8,23,4,13,,116,274,390,45,4,74,5,14,12,5,3,41,23,3,5,23,0,3,1,8,5,,,91,25,307,83
31-Jan-86,49,79,26,8,64,8,23,4,13,,118,274,392,45,4,74,5,14,12,5,3,41,23,3,5,23,0,3,1,8,5,,,92,26,308,84
28-Feb-86,49,80,26,8,64,8,23,4,13,,119,275,394,45,4,75,5,14,12,5,3,41,23,3,5,23,0,3,1,8,5,,,93,26,310,84
31-Mar-86,49,80,26,8,67,8,23,4,13,,123,278,401,45,4,75,5,14,12,5,3,43,24,3,5,23,0,3,1,8,5,,,97,26,316,85
6-May-86,49,80,26,8,68,8,23,4,13,,125,279,404,45,4,75,5,14,12,5,3,43,25,3,5,23,0,3,1,8,5,,,99,26,318,86
31-May-86,49,81,26,8,68,8,23,4,13,,129,280,409,45,4,76,5,14,12,5,3,43,25,3,5,23,0,3,1,8,5,,,102,27,322,87
30-Jun-86,49,81,26,8,68,8,23,4,13,,130,280,410,45,4,76,5,14,12,5,3,43,25,3,5,23,0,3,1,8,5,,,103,27,323,87
31-Aug-86,49,82,26,8,69,8,23,4,13,,134,282,416,45,4,77,5,14,12,5,3,43,26,3,5,23,0,3,1,8,5,,,107,27,328,88
31-Oct-86,50,82,27,8,70,8,23,5,13,,139,286,425,45,5,77,5,14,13,5,3,43,27,3,5,23,0,4,1,8,5,,,112,27,334,91
30-Nov-86,50,82,27,8,70,8,23,5,13,,139,286,425,45,5,77,5,14,13,5,3,43,27,3,5,23,0,4,1,8,5,,,112,27,334,91
31-Dec-86,50,82,28,8,70,8,23,5,13,,140,287,427,45,5,77,5,14,14,5,3,43,27,3,5,23,0,4,1,8,5,,,113,27,335,92
31-Jan-87,51,82,28,8,70,8,23,5,13,,152,288,440,46,5,77,5,14,14,5,3,43,27,3,5,23,0,4,1,8,5,,,123,29,346,94
28-Feb-87,51,82,28,8,71,8,23,5,13,,153,289,442,46,5,77,5,14,14,5,3,43,28,3,5,23,0,4,1,8,5,,,124,29,347,95
31-Mar-87,51,82,28,8,71,8,23,5,13,,154,289,443,46,5,77,5,14,14,5,3,43,28,3,5,23,0,4,1,8,5,,,125,29,348,95
31-May-87,51,82,28,8,72,8,28,6,13,,156,296,452,46,5,76,6,14,14,5,3,43,29,3,5,28,0,5,1,8,5,,,127,29,355,97
30-Jun-87,52,83,28,8,73,8,28,6,13,,163,299,462,47,5,76,7,14,14,5,3,43,30,3,5,28,0,5,1,8,5,,,132,31,361,101
31-Aug-87,52,85,29,9,73,8,28,6,13,,163,303,466,47,5,76,9,14,15,5,4,43,30,3,5,28,0,5,1,8,5,,,132,31,361,105
30-Sep-87,52,85,29,9,75,8,28,6,15,,167,307,474,47,5,76,9,14,15,5,4,44,31,3,5,28,0,5,1,8,7,,,136,31,366,108
30-Nov-87,53,88,31,9,75,8,28,6,15,,172,313,485,48,5,78,10,14,17,5,4,44,31,3,5,28,0,5,1,8,7,,,137,35,370,115
31-Dec-87,53,85,33,9,74,8,28,6,15,,173,311,484,47,6,75,10,15,18,5,4,43,31,3,5,28,0,5,1,8,7,,,140,33,369,115
31-Jan-88,53,85,33,9,74,8,28,6,15,,173,311,484,47,6,75,10,15,18,5,4,43,31,3,5,28,0,5,1,8,7,,,140,33,369,115
31-Mar-88,53,86,33,9,74,8,29,6,15,,179,313,492,47,6,76,10,15,18,5,4,43,31,3,5,29,0,5,1,8,7,,,145,34,376,116
30-Apr-88,53,86,33,9,74,8,29,6,15,,179,313,492,47,6,76,10,15,18,5,4,43,31,3,5,29,0,5,1,8,7,,,145,34,376,116
30-Apr-88,53,86,33,9,74,8,29,6,15,,185,313,495,47,6,76,10,15,18,5,4,43,31,3,5,29,0,5,1,8,7,,,146,39,377,118
30-Nov-88,57,86,33,9,77,8,31,9,17,3,201,330,531,50,7,76,10,15,18,5,4,47,30,3,5,31,0,8,1,10,7,3,0,155,46,403,128
3-Jan-89,57,86,33,9,77,8,31,9,17,3,201,330,531,50,7,76,10,15,18,5,4,47,30,3,5,31,0,8,1,10,7,3,0,155,46,403,128
1-Mar-89,57,86,33,9,77,8,32,9,17,3,203,331,534,50,7,76,10,15,18,5,4,47,30,3,5,32,0,8,1,10,7,3,0,157,46,406,128
31-Mar-89,57,86,33,9,77,8,32,9,17,3,204,331,535,50,7,76,10,15,18,5,4,47,30,3,5,32,0,8,1,10,7,3,0,158,46,407,128
30-Apr-89,57,86,33,9,77,8,32,9,17,3,204,331,535,50,7,76,10,15,18,5,4,47,30,3,5,32,0,8,1,10,7,3,0,158,46,407,128
31-May-89,59,86,33,9,77,9,32,9,17,3,205,334,539,51,8,76,10,15,18,5,4,47,30,3,6,32,0,8,1,10,7,3,0,159,46,409,130
30-Jun-89,59,86,33,9,77,9,32,9,17,3,205,334,539,51,8,76,10,15,18,5,4,47,30,3,6,32,0,8,1,10,7,3,0,159,46,409,130
1-Aug-89,59,86,34,9,77,9,32,9,18,3,213,336,549,51,8,76,10,16,18,5,4,47,30,3,6,32,0,8,1,11,7,3,0,165,48,417,132
31-Oct-89,59,86,34,11,81,9,34,9,18,3,218,344,562,51,8,76,10,16,18,6,5,50,31,3,6,34,0,8,1,11,7,3,0,169,49,427,135
3-Jan-90,59,86,34,11,82,9,34,9,18,3,218,345,563,51,8,76,10,16,18,6,5,51,31,3,6,34,0,8,1,11,7,3,0,169,49,428,135
28-Feb-90,59,85,33,11,82,9,34,9,18,3,222,343,565,51,8,75,10,16,17,6,5,51,31,3,6,34,0,8,1,11,7,3,0,169,53,427,138
1-Mar-90,59,85,33,11,82,9,34,9,18,3,222,343,565,51,8,75,10,16,17,6,5,51,31,3,6,34,0,8,1,11,7,3,0,169,53,427,138
3-Apr-90,59,85,32,11,82,9,35,9,18,3,222,343,565,52,7,75,10,15,17,6,5,51,31,3,6,35,0,8,1,11,7,3,0,169,53,428,137
31-May-90,60,85,32,11,84,9,36,9,18,3,229,347,576,52,8,76,9,15,17,6,5,51,33,3,6,35,1,8,1,11,7,3,0,173,56,433,143
30-Jun-90,61,87,32,11,84,9,37,10,18,3,230,352,582,53,8,76,11,15,17,6,5,51,33,3,6,36,1,8,2,11,7,3,0,173,57,435,147
31-Jul-90,61,87,32,11,84,9,38,10,18,3,235,353,588,53,8,76,11,15,17,6,5,51,33,3,6,37,1,8,2,11,7,3,0,177,58,440,148
31-Aug-90,61,87,32,11,84,9,38,10,20,3,237,355,592,53,8,76,11,15,17,6,5,51,33,3,6,37,1,8,2,11,9,3,0,178,59,441,151
31-Oct-90,61,85,33,11,86,9,39,10,20,3,239,357,596,53,8,74,11,16,17,6,5,53,33,3,6,37,2,8,2,11,9,3,0,179,60,443,153
30-Nov-90,61,85,33,11,87,9,39,10,20,3,239,358,597,53,8,74,11,16,17,6,5,54,33,3,6,37,2,8,2,11,9,3,0,179,60,444,153
31-Jan-91,62,84,34,11,86,10,39,10,20,3,246,359,605,54,8,72,12,16,18,6,5,53,33,4,6,37,2,8,2,11,9,3,0,186,60,450,155
28-Feb-91,62,84,34,11,86,10,39,10,20,3,246,359,605,54,8,72,12,16,18,6,5,53,33,4,6,37,2,8,2,11,9,3,0,186,60,450,155
31-Mar-91,62,85,34,11,86,10,39,10,20,3,246,360,606,54,8,73,12,16,18,6,5,53,33,4,6,37,2,8,2,11,9,3,0,186,60,451,155
30-Apr-91,63,85,34,11,86,10,40,10,20,3,250,362,612,55,8,73,12,16,18,6,5,53,33,4,6,38,2,8,2,11,9,3,0,190,60,457,155
30-Jun-91,63,85,34,11,86,10,41,10,22,3,250,365,615,55,8,73,12,16,18,6,5,53,33,4,6,39,2,8,2,13,9,3,0,190,60,460,155
30-Sep-91,63,85,34,11,87,13,41,10,22,3,270,369,639,55,8,73,12,16,18,6,5,53,34,7,6,39,2,8,2,13,9,3,0,209,61,482,157
31-Jan-92,65,85,34,11,89,13,42,10,22,3,307,374,681,56,9,73,12,16,18,6,5,55,34,7,6,40,2,8,2,13,9,3,0,243,64,520,161
31-May-92,65,85,34,11,91,13,42,10,22,3,341,376,717,56,9,73,12,16,18,6,5,55,36,7,6,40,2,8,2,13,9,3,0,271,70,548,169
31-Aug-92,65,85,34,11,91,13,42,10,23,3,351,377,728,56,9,73,12,16,18,6,5,55,36,7,6,40,2,8,2,14,9,3,0,280,71,558,170
30-Nov-92,65,86,34,11,91,13,42,11,23,3,370,379,749,56,9,73,13,16,18,6,5,55,36,7,6,40,2,9,2,14,9,3,0,298,72,577,172
31-Jan-93,65,86,34,11,91,19,44,11,24,3,370,388,758,56,9,73,13,16,18,6,5,55,36,12,7,42,2,9,2,15,9,3,0,298,72,585,173
2-Apr-93,65,89,34,11,92,19,55,11,24,3,372,403,775,56,9,73,16,16,18,6,5,55,37,12,7,50,5,9,2,15,9,3,0,299,73,594,181
30-Jun-93,65,90,34,11,95,19,56,12,24,3,387,409,796,56,9,73,17,16,18,6,5,58,37,12,7,51,5,10,2,15,9,3,0,311,76,611,185
1-Sep-93,65,90,34,11,95,19,56,13,24,5,402,412,814,56,9,73,17,16,18,6,5,58,37,12,7,51,5,11,2,15,9,5,0,324,78,627,187
1-Dec-93,64,89,35,11,98,19,56,13,24,4,403,413,818,55,9,72,17,17,18,6,5,59,39,12,7,50,6,11,2,15,9,4,0,326,77,629,189
2-Feb-94,64,90,35,11,100,19,56,13,26,4,404,418,822,55,9,73,17,17,18,6,5,61,39,12,7,50,6,11,2,17,9,4,0,326,78,632,190
3-Mar-94,65,90,35,11,101,19,56,13,26,4,434,420,850,56,9,73,17,17,18,6,5,62,39,12,7,50,6,11,2,17,9,4,0,352,82,660,190
3-Jun-94,65,90,35,11,101,21,56,13,28,4,458,424,892,56,9,73,17,16,19,6,5,63,38,14,7,50,6,11,2,19,9,4,0,375,83,697,195
1-Jul-94,65,90,35,11,101,21,56,13,28,4,471,424,895,56,9,73,17,16,19,6,5,63,38,14,7,50,6,11,2,19,9,4,0,388,83,700,195
10-Nov-94,65,91,35,11,103,21,56,17,28,4,488,431,919,56,9,75,16,16,19,6,5,65,38,14,7,50,6,14,3,19,9,4,0,402,86,721,198
1-Jan-95,64,91,33,12,105,22,57,17,28,4,511,433,944,55,9,75,16,14,19,7,5,68,37,15,7,51,6,14,3,19,9,4,0,422,89,744,200
1-Mar-95,64,92,33,12,105,22,57,17,29,5,525,436,961,55,9,76,16,14,19,7,5,68,37,15,7,51,6,14,3,20,9,5,0,434,91,759,202
30-Apr-95,64,92,33,12,105,22,57,17,29,5,526,436,962,55,9,76,16,14,19,7,5,68,37,15,7,51,6,14,3,20,9,5,0,434,92,759,203
31-Aug-95,64,91,33,12,105,22,57,17,29,5,527,435,962,55,9,75,16,14,19,7,5,68,37,15,7,51,6,14,3,20,9,5,0,435,92,759,203
